VARIABLE;DESCRIPCIÓN;TIPO;NULOS;ÚNICOS;RANGO DE VALORES;EJEMPLOS
ID;Número de identificación del cliente;int64;0;9119;(262, 23244);[20451, 21509, 18950]
FECHA EXPEDICION ID;Fecha en que el cliente obtuvo su ID;int64;0;5560;(0, 20241209);[20060805, 19990604, 20051108]
CIUDAD EXPEDICION ID;Ciudad en donde el cliente obtuvo su ID;object;176;753;N/A;['BOGOT , D.C.', 'C CUTA', 'BOGOT , D.C.']
FECHA APERTURA;Fecha en que el cliente aperturo el producto en el banco;int64;0;3342;(19710101, 20250220);[20230829, 20240222, 20130724]
OFICINA APERTURA;Sucursal del banco en donde el cliente aperturó el producto en el banco;int64;0;169;(1, 99999);[141, 42, 108]
CANAL DE VINCULACION;Tipo de canal donde el cliente aperturó el producto;int64;0;21;(0, 22);[1, 14, 6]
BANCA;Describir la variable;object;130;4;N/A;['IND', 'IND', 'IND']
CODIGO DE ACTIVIDAD ECONOMICA;Actividad económica realizada por el cliente por código CIIU;int64;0;318;(10, 99999);[4771, 9521, 82]
FECHA DE INICIO RELACION LABORAL;Fecha en la que el cliente comenzo labores en la empresa registrada en su vinculación;int64;0;211;(0, 20250210);[0, 0, 0]
EGRESOS MENSUALES;Gastos mensuales del cliente;int64;0;5931;(0, 99999999999);[5408333, 3314994, 3420000]
SERVIDOR PUBLICO PEP;Si corresponde a una persona expuesta políticamente;object;0;2;N/A;['N', 'N', 'N']
NACIONALIDAD/CONSTITUCION;País de nacimiento del cliente;float64;0;9;(0.0, 850.0);[169.0, 169.0, 169.0]
ESTRATO RESIDENCIA;Estrato socioeconómico del cliente;int64;0;8;(0, 99);[3, 1, 1]
NIVEL EDUCACIONAL/ACADEMICO;Mayor grado de educación alcanzado por el cliente;float64;127;10;(0.0, 9.0);[6.0, 2.0, 2.0]
GENERO;Características atribuidas al cliente con respecto a su sexo biológico;object;171;2;N/A;['F', 'F', 'M']
CIUDAD DE RESIDENCIA;Ciudad en la que habita el cliente;int64;0;536;(0, 99999);[15469, 68684, 15759]
PRODUCTOS CAP-COL;Cantidad de productos financieros que tiene el cliente;int64;0;15;(0, 27);[2, 1, 1]
NIVEL RIESGO ACT ECONOMICA;Que tan vulnerable se encuentra catalogada la actividad economica para la materialización del riesgo LAFT;object;6;3;N/A;['MEDIO', 'MEDIO', 'BAJO']
GENERO ALERTA;Si transaccionalmente el cliente ha generado alerta 2= Sí generó.;int64;0;2;(0, 2);[0, 0, 0]
CONDICIONES;Condiciones de alerta cumplidas;object;0;96;N/A;['0228,0301,0304,0310,0401,0402,0403,0825,0911,0912,0960,0980,0999', '0228,0301,0304,0310,0401,0402,0403,0825,0912,0914,0960,0980,0999', '0228,0301,0304,0310,0401,0402,0403,0825,0960,0980,0999']
ACRM - CODIGO TRANSACCION;Código de la operación realizada por el cliente;float64;0;80;(1.0, 51300016.0);[3000100.0, 5000202.0, 5000202.0]
ACRM - DEBITO-CREDITO;Naturaleza de la operación realizada por el cliente;object;0;2;N/A;['C', 'C', 'D']
ACRM - OFICINA TRANSACCION;Sucursal del banco en que se realizó la operación;int64;0;161;(1, 99998);[52, 47, 1]
ACRM - OFICINA APERTURA PRODUCTO;Sucursal del banco en donde el cliente aperturó el producto en el banco;int64;0;169;(0, 900);[1, 47, 18]
ACRM - MCC;Tipo de comercio en que se realizó la operación;int64;0;15;(0, 8011);[0, 0, 0]
ACRM - FECHA TRX.;Fecha de la operación;int64;0;12;(20250205, 20250220);[20250214, 20250215, 20250220]
ACRM - MONTO EFECTIVO MN;Valor de la operación en efectivo en pesos;float64;0;7387;(0.0, 170000000.0);[0.0, 16620928.0, 60000.0]
ACRM - MONTO CHEQUES PROPIOS MN;Monto de la operación realizada en cheque;float64;0;15;(0.0, 145000000.0);[0.0, 0.0, 0.0]
ACRM - FECHA Y HORA TRX;Fecha y hora de la operación realizada;int64;0;12849;(2025021883943, 20250220213904);[20250215212452, 20250218155917, 20250220212810]
ACRM - CODIGO DE CANAL;Tipo de Canal donde se realizó la operación;int64;0;8;(0, 64);[1, 1, 1]
ACRM - ULTIMA FECHA TRX;Fecha de la última operación;int64;0;249;(0, 20250220);[20250131, 20250122, 20250219]
ACRM - SCORE PRODUCTO;Puntaje de riesgo para el producto transado;float64;0;37;(0.0, 300.0);[210.0, 169.5, 79.5]
ACRM - SCORE JURISDICCION;Puntaje de riesgo para el lugar de la transacción;float64;0;12;(0.0, 124.5);[69.0, 69.0, 69.0]
ACRM - PUNTOCORTEDEBITO PRODUCTO;Monto límite para alertamiento del factor producto por operaciones de naturaleza débto.;int64;0;3;(0, 8488312327);[0, 0, 0]
ACRM - PUNTOCORTEDEBITO CANAL;Monto límite para alertamiento del factor canal por operaciones de naturaleza débto.;int64;0;7;(0, 50306850921);[50306850921, 1865592715, 50306850921]
ACRM - PUNTOCORTEGE CANAL;Monto límite para alertamiento del factor canal por operaciones de giros enviados.;int64;0;5;(0, 80410);[80410, 80410, 0]
NIVEL DE RIESGO;Nvel de riesgo de LAFT asociado a un cliente;object;0;3;N/A;['MEDIO', 'MEDIO', 'BAJO']
